index_rc,col,row,col_row,x_cent_geo,y_cent_geo,x1_nw_geo,y1_nw_geo,x2_sw_geo,y2_sw_geo,x3_se_geo,y3_se_geo,x4_ne_geo,y4_ne_geo,sh,hh,ni,hb,nw,he,rp,bw,by,sl,be,bb,mv,sn,st,th
23,23,0,23 - 000,8.4141220328,55.1975476383,8.3465780077,55.2347349361,8.3495500351,55.1587021734,8.4815472506,55.1603229266,8.4788127755,55.2363584148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,24 - 000,8.5462428825,55.1991021925,8.4788127755,55.2363584148,8.4815472506,55.1603229266,8.6135541586,55.1618086679,8.6110572883,55.2378466547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,25 - 000,8.6783730291,55.2005216147,8.6110572883,55.2378466547,8.6135541586,55.1618086679,8.7455699176,55.1631593842,8.7433106999,55.2391996426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,26 - 000,8.8105116285,55.2018058922,8.7433106999,55.2391996426,8.7455699176,55.1631593842,8.8775936857,55.1643750633,8.8755721640,55.2404173663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,27 - 000,8.9426578364,55.2029550135,8.8755721640,55.2404173663,8.8775936857,55.1643750633,9.0096246206,55.1654556944,9.0078408337,55.2414998149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,0,28 - 000,9.0748108081,55.2039689683,9.0078408337,55.2414998149,9.0096246206,55.1654556944,9.1416618798,55.1664012677,9.1401158619,55.2424469787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,29 - 000,9.2069696987,55.2048477475,9.1401158619,55.2424469787,9.1416618798,55.1664012677,9.2737046205,55.1672117748,9.2723964013,55.2432588492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,30 - 000,9.3391336631,55.2055913433,9.2723964013,55.2432588492,9.2737046205,55.1672117748,9.4057519999,55.1678872085,9.4046816045,55.2439354190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,31 - 000,9.4713018559,55.2061997489,9.4046816045,55.2439354190,9.4057519999,55.1678872085,9.5378031747,55.1684275628,9.5369706237,55.2444766822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,0,32 - 000,9.6034734317,55.2066729589,9.5369706237,55.2444766822,9.5378031747,55.1684275628,9.6698573017,55.1688328327,9.6692626110,55.2448826338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,33 - 000,9.7356475448,55.2070109691,9.6692626110,55.2448826338,9.6698573017,55.1688328327,9.8019135375,55.1691030146,9.8015567185,55.2451532702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,0,34 - 000,9.8678233495,55.2072137764,9.8015567185,55.2451532702,9.8019135375,55.1691030146,9.9339710386,55.1692381062,9.9338520981,55.2452885891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,0,35 - 000,10.0000000000,55.2072813791,9.9338520981,55.2452885891,9.9339710386,55.1692381062,10.0660289614,55.1692381062,10.0661479019,55.2452885891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,36 - 000,10.1321766505,55.2072137764,10.0661479019,55.2452885891,10.0660289614,55.1692381062,10.1980864625,55.1691030146,10.1984432815,55.2451532702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,0,37 - 000,10.2643524552,55.2070109691,10.1984432815,55.2451532702,10.1980864625,55.1691030146,10.3301426983,55.1688328327,10.3307373890,55.2448826338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,0,38 - 000,10.3965265683,55.2066729589,10.3307373890,55.2448826338,10.3301426983,55.1688328327,10.4621968253,55.1684275628,10.4630293763,55.2444766822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,39 - 000,10.5286981441,55.2061997489,10.4630293763,55.2444766822,10.4621968253,55.1684275628,10.5942480001,55.1678872085,10.5953183955,55.2439354190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,40 - 000,10.6608663369,55.2055913433,10.5953183955,55.2439354190,10.5942480001,55.1678872085,10.7262953795,55.1672117748,10.7276035987,55.2432588492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,0,41 - 000,10.7930303013,55.2048477475,10.7276035987,55.2432588492,10.7262953795,55.1672117748,10.8583381202,55.1664012677,10.8598841381,55.2424469787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,0,42 - 000,10.9251891919,55.2039689683,10.8598841381,55.2424469787,10.8583381202,55.1664012677,10.9903753794,55.1654556944,10.9921591663,55.2414998149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,0,43 - 000,11.0573421636,55.2029550135,10.9921591663,55.2414998149,10.9903753794,55.1654556944,11.1224063143,55.1643750633,11.1244278360,55.2404173663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
